      Topic 1      Topic 2     
 [1,] "entretien"  "livr"      
 [2,] "propo"      "plage"     
 [3,] "jacqu"      "fait"      
 [4,] "quil"       "expliqu"   
 [5,] "comment"    "quil"      
 [6,] "michel"     "adler"     
 [7,] "duchateau"  "roman"     
 [8,] "film"       "entretien" 
 [9,] "peintr"     "laur"      
[10,] "pens"       "lauteur"   
[11,] "carnav"     "politiqu"  
[12,] "chapui"     "dune"      
[13,] "expériment" "cest"      
[14,] "lamériqu"   "parl"      
[15,] "maud"       "veinstein" 
[16,] "nice"       "aussi"     
[17,] "pollock"    "musiqu"    
[18,] "voyag"      "peu"       
[19,] "nuit"       "journalist"
[20,] "risqu"      "rapport"   
